Category,Agency,Type,Brands Serviced,Evidence,HQ / Size,Partnership Angle,Key Contact,Key Contact Confidence,Source URLs
Home Supplies,Raindrop Agency,"Creative + growth agency-of-record (brand, DTC video, paid Meta/YouTube/CTV)","Laundry Sauce (Home Supplies / laundry) — won AOR in 2022, built the brand pre-revenue and holds a minor equity stake; broader DTC consumer roster","Published Laundry Sauce case study on raindrop.agency; multiple trade write-ups of Raindrop's Laundry Sauce campaigns (LBBOnline 'Scott Eastwood' spot, Roastbrief, MarComm News). Strong, brand-specific evidence in this exact category.","US mid-size creative/growth agency (Salt Lake City area, unverified); dozens of staff","Competitor-adjacent on creative, but best-fit CHANNEL PARTNER: Spira's AI content/creator platform could feed Raindrop's high-volume creative-testing pipeline and scale UGC/affiliate output for its DTC roster without adding headcount.",,LOW,https://raindrop.agency/case-study/laundry-sauce/ https://raindrop.agency/case-studies/ https://lbbonline.com/news/scott-eastwood-laundry-sauce-raindrop https://roastbrief.us/raindrop-launches-sexy-provocative-campaign-for-laundry-sauce/
Home Supplies,MediaLabs,"Full-stack TikTok Shop agency (Official TikTok Shop Partner) — shop management, creator/affiliate program (CAP/TAP), UGC, GMV Max & Spark ads, LIVE selling","150+ brand partners; claims home-goods vertical experience. NOTE: named public case studies are oral care/hearing/supplements/eyewear (Dr. Dent, Audien Hearing, Terra Health, SEDLAK) — home/cleaning is a CATEGORY-LEVEL claim, not a verified named cleaning brand.","medialabs-co.com lists $500M+ creator-driven GMV, 3,000+ vetted creators, home goods among served verticals; category-level evidence only for Home Supplies specifically.","US; $500M+ managed creator GMV, 3,000+ creator network, 150+ brand partners",CHANNEL PARTNER / WHITE-LABEL TARGET: Spira could supply AI-generated creator content to feed MediaLabs' affiliate + GMV Max engine at scale across its shop-management clients.,,LOW,https://medialabs-co.com/tiktok-shop-agency https://medialabs-co.com/blog/best-tiktok-shop-agencies-2026
Home Supplies,Blue Wheel Media,Marketplace/commerce agency with dedicated TikTok Shop management & growth practice (also Amazon); TikTok Shop Partner,Curated brand roster across commerce verticals including home goods; NOTE: no specific named cleaning/home Home-Supplies case study verified — category-level positioning only.,"bluewheelmedia.com/tiktok-shop details TTS management, affiliate/creator outreach, product seeding and GMV growth services; lists home goods as a served category. Evidence is category-level, not brand-specific for this vertical.","US (Detroit-area HQ), full-service; mid-to-large commerce agency","CHANNEL PARTNER: Spira as the AI content/creator-content layer under Blue Wheel's TTS management, letting them offer higher-velocity creator content to home/CPG clients.",,LOW,https://www.bluewheelmedia.com/tiktok-shop https://www.bluewheelmedia.com/services/tiktok-shop
Food & Beverages,Agital (incl. sister brands EK Creative / Go Fish Digital),Full-service TikTok Shop / performance agency,EZ Bombs (food & bev); broader TTS roster via EK Creative,"Published EZ Bombs case study: scaled TTS Shop Ads from 3x to 30x ROAS in first 90 days, sustained 10x+; managed ads, email, SMS, live shopping, affiliate. EK Creative cites $40M+ TTS GMV in trailing year.","US, mid-size agency network (est. 100s of staff across Agital brands)",Competitor / channel partner: they own TTS creative + affiliate ops for F&B brands; Spira can white-label AI creator content to expand their creative output per client.,,LOW,"https://agital.com/results/case-studies/ez-bombs/, https://gofishdigital.com/case-study/ez-bombs/, https://www.newswire.com/news/agital-named-badged-tiktok-agency-partner-22552963"
Food & Beverages,Uptickk,TikTok Shop management agency (one of TikTok's original 4 beta agencies),"Nello, Bloom, Ora Organic (food/wellness bev); Peach Perfect, Wyze","Uptickk states it manages two of the top-10 TikTok Shops and names Nello, Bloom, and Ora Organic as clients; TikTok launch beta agency.","US, boutique-to-mid agency (six-figure annual tech-stack spend)",Channel partner / white-label target: they run affiliate programs for top F&B shops and constantly need creator video volume — Spira AI content can feed their managed shops.,,LOW,"https://uptickk.com/, https://uptickk.com/about/"
Food & Beverages,Brands Meet Creators (BMC),Done-for-you TikTok Shop affiliate/creator-content shop,Nello (food & bev),"BMC cited helping Nello earn $140K GMV in March; markets '2,000+ TikTok Shop affiliate videos done-for-you' and ranks in TikTok's top-10 agency list.","US, boutique creator agency",White-label target / competitor: BMC's core product is high-volume affiliate video — directly the workload Spira's AI content platform can produce or augment.,,LOW,"https://start.brandsmeetcreators.com/tiktok-shop-brand-apply, https://www.tramicheck.com/newsletter/drink-nellos-playbook-for-success-a-tiktok-shop-case-study"
Food & Beverages,Harvest Group,Retail sales agency + certified TikTok Shop partner,"Magic Spoon, Bush's Beans, Bragg (all food & bev)","Official/certified TikTok Shop partner; named helping Magic Spoon, Bush's Beans and Bragg with ads, affiliate programs, and eCommerce integration; Bragg + Harvest shopper-marketing at Kroger (Q1 2025).","US, large (full-service retail agency, 3 US offices)",Channel partner: gateway to established CPG F&B clients moving into TTS; Spira supplies the creator-content layer they don't produce in-house.,,LOW,"https://harvestgroup.com/tiktok-shop/, https://harvestgroup.com/harvest-group-named-tiktok-shop-partner/, https://thesocialshepherd.com/blog/top-tiktok-shop-agencies-us"
Food & Beverages,MediaLabs,Full-stack TikTok Shop agency (Official TikTok Partner — TSP/CAP/TAP),"Food & beverage vertical among 150+ brands (e.g., Bears with Benefits, Pure Peak, Terra Health)","Official TikTok Partner behind $500M+ managed GMV, 150+ brands, 3,000+ creators; explicitly lists food & beverage as a served vertical with sampling/logistics expertise.","US, mid-large agency (large creator network)",Competitor / channel partner: full-stack rival that could resell/white-label Spira AI content to scale creative for its 150+ shop clients.,,LOW,"https://medialabs-co.com/tiktok-shop-agency, https://medialabs-co.com/case-studies, https://medialabs-co.com/blog/best-tiktok-shop-agencies-2026"
Menswear & Underwear,GRIN,Creator/influencer management SaaS platform (creator-commerce software),Cuts Clothing (published TikTok ambassador case study); broad DTC apparel base,Public GRIN case study documenting Cuts Clothing's TikTok ambassador program (creators assigned 1-2 videos/month around drops).,"Sacramento, CA; large (est. 300-500 employees), VC-backed","Competitor / channel partner - GRIN owns the CRM/relationship layer; Spira can partner as the AI content-generation layer feeding GRIN-managed creator rosters, or competes where GRIN adds content tooling.",,LOW,https://grin.co/case-studies/tik-tok-case-study-cuts-clothing/
Menswear & Underwear,new/day studio,TikTok Shop creative & creator-growth agency,Apparel/fashion & menswear focus (published menswear/SKIMS-menswear TikTok Shop viral playbook and case studies),"Agency-authored 'TikTok Brands That Went Viral (2025)' playbook analyzing menswear/apparel TTS strategy (micro-drop cadence, SKIMS menswear launch).",US; small-mid boutique agency,Channel partner / white-label target - a content-led TTS agency that could white-label Spira's AI content/creator engine to scale output for its apparel clients.,,LOW,https://www.newdaystudio.co/blog/tiktok-brands-that-went-viral
Menswear & Underwear,MediaLabs,Full-stack TikTok Shop agency (Official TikTok Shop Partner),"150+ brands across apparel/fashion (dedicated fashion & apparel TTS pages for LA and NY); 3,000+ creator roster",$500M+ managed creator-driven GMV; dedicated 'TikTok Shop Agency for Fashion & Apparel Brands' service pages (LA + NY); TSP status.,New York / Los Angeles; mid-size agency,White-label / channel partner - runs shop mgmt + affiliate + GMV Max ads for apparel brands; Spira can supply AI creator content to lift their per-brand content volume.,,LOW,https://medialabs-co.com/tiktok-shop-agency-for-fashion-brands-in-los-angeles https://medialabs-co.com/
Menswear & Underwear,Social Tale,TikTok Shop agency (fashion vertical),"Fashion brands across streetwear, activewear, accessories, dresses ($25M+ fashion GMV)",Agency states $25M+ in fashion GMV via creator-led styling content; dedicated TikTok Shop fashion agency page + published case studies.,Small-mid boutique agency,Channel partner / white-label - fashion-specialist TTS agency; Spira's AI content platform fits as the production engine behind their creator-styling content programs.,,LOW,https://socialtale.co/tiktok-shop-agency/fashion https://socialtale.co/blog/tiktok-shop-case-studies
Sports & Outdoor,MediaLabs (medialabs-co.com),TikTok Shop management agency + creator network (Official TikTok Partner),"Fitness/athleisure/recovery brands (400+ fitness creators); broader roster incl. Audien Hearing, Terra Health, Bears with Benefits, Pure Peak.","Publishes a dedicated 'TikTok Shop Agency for Fitness & Athleisure Brands' page describing 400+ fitness creators run across equipment (8% returns), athleisure (18-20%) and recovery, with category-specific briefing/bidding; site cites $500M+ GMV managed and 3,000+ creators. Audien Hearing case study documents 36.1x blended ROAS across 274 videos / 14M views.","$500M+ GMV managed, 3,000+ vetted creators (team size not disclosed)","Channel partner + competitor: runs creator ops at scale for exactly these S&O/fitness brands — Spira can white-label its AI brief-to-video engine into their 3,000-creator pipeline, but they also compete for full-service TTS management mandates.",,LOW,https://medialabs-co.com/tiktok-shop-agency-for-fitness-brands https://medialabs-co.com/ https://medialabs-co.com/case-studies/audien-hearing
Sports & Outdoor,Structured Agency (structured.agency),TikTok Shop content production + creator network,Free Fly Apparel (outdoor/adventure performance wear); TTS-optimized content brands.,"Named as the agency that took over Free Fly Apparel (bamboo outdoor apparel) after a prior agency underperformed, tasked with testing new creative concepts to hit TTS scaling KPIs; positions itself around in-house production + curated creator network for TikTok Shop conversion.",Not disclosed (mid-size specialist),"White-label target / competitor: they run in-house TTS video production that Spira's AI can accelerate or undercut — either license Spira to cut production cost, or compete on volume/turnaround for outdoor-apparel content.",,LOW,https://structured.agency/tiktok https://medialabs-co.com/tiktok-shop-agency-for-fitness-brands
Sports & Outdoor,Kynship (kynship.co),Influencer/UGC + creator-commerce growth agency (DTC),"Animalhouse Fitness, Pura Vida, Blendtopia, WildBird, Purdy & Figg, Saltyface.",Case studies cite Animalhouse Fitness scaled $0→$7M in one year and Pura Vida affiliate program +230% revenue / 3x traffic; states it reaches 500+ influencers/month (split IG/TikTok) per client — direct fitness + creator-commerce evidence.,Small–mid DTC agency (team size not disclosed),Channel partner: Spira's AI content platform can multiply their 500-influencer/month creative output and power affiliate launches — natural white-label/tooling partner rather than a full-service TTS competitor.,,LOW,https://www.kynship.co/ https://www.kynship.co/about https://www.linkedin.com/company/kynship
Sports & Outdoor,Social Tale (socialtale.co),"TikTok Shop agency — health, wellness & fitness vertical","Supplements, fitness, personal-care and functional-health TTS brands (names not publicly disclosed).","Health & wellness TTS agency page states $30M+ wellness GMV generated across supplements, fitness, personal care and functional health, and describes a supplements/fitness playbook (TAP ~22%, subscribe-and-save) — category-adjacent operator evidence.",Not disclosed (mid-size specialist),Channel partner: category-adjacent (fitness/wellness) TTS operator with constant creator-video demand — a fit for Spira as an AI content supplier / white-label rather than a head-to-head competitor.,,LOW,https://socialtale.co/tiktok-shop-agency/health-wellness
Health (Supplements/Wellness),Brands Meet Creators (Mike Rama),TikTok Shop affiliate / creator-management agency,Nello (Supercalm) - seeded 300+ new affiliates; dozens of TTS brands on retainer+commission deals,Founder Mike Rama's LinkedIn post 'We generated 300 new affiliates for Nello'; interviews Nello founders on TTS campaign; agency runs $5-10M/mo GMV across brands.,"US-based; boutique (owner-led, dozens of brand accounts; paid $80K+/mo in affiliate retainers)",Channel partner / white-label target: they manually recruit and manage affiliate armies - Spira's AI content/creator platform could power their roster's content velocity at lower cost.,"Mike (Michael) Rama, Founder - https://www.linkedin.com/in/michaelrama/",HIGH,https://www.linkedin.com/in/michaelrama/ https://www.linkedin.com/posts/michaelrama_we-generated-300-new-affiliates-for-nello-activity-7239962219260571648-0mCG https://austinarmstrong.ai/this-tiktok-agency-owner-made-200000-w-mike-rama/
Health (Supplements/Wellness),MediaLabs,Full-stack TikTok Shop agency (Official TikTok Partner),"Supplements/wellness: Terra Health, Bears with Benefits, Pure Peak (plus Dr. Dent, Audien Hearing); 150+ brand partners across supplements/wellness verticals","MediaLabs case-studies page lists Terra Health (supplements), Bears with Benefits, Pure Peak; $500M+ managed GMV; roster of 3,000+ vetted creators.","US-based; large (150+ brands, $500M+ GMV, 3,000+ creators)",Channel partner / white-label target: high-volume creator deployment across a big supplement roster - Spira AI content could feed their managed-creator model and scale output per brand.,"Lukas Minkov, Co-Founder & CEO (also Alex Sedlak, Co-Founder) - name/role verified via search + podcast + medialabs-co.com/team; no clean LinkedIn URL captured (a linkedin.com/in/lukasminkov profile exists but lists 'Sedlaks & Brandpushers', not explicitly MediaLabs - not confirmed as a match)",MED,https://medialabs-co.com/case-studies https://medialabs-co.com/team https://medialabs-co.com/tiktok-shop-agency
Health (Supplements/Wellness),Social Tale,TikTok Shop agency specialized in Health & Wellness,"Supplement, fitness, personal-care and functional-health brands (client names not individually disclosed); $30M+ wellness GMV, $100M+ total GMV",Dedicated 'TikTok Shop Agency for Health & Wellness' page; compliance-first creator-led model; one case study scaling a wellness brand $60K->$450K/mo.,US-based; mid-size specialist ($100M+ GMV managed),Channel partner: compliance-first wellness content at scale is exactly Spira's lane - AI content generation within TTS claims guidelines could be a differentiated white-label add-on.,,LOW,https://socialtale.co/tiktok-shop-agency/health-wellness
Health (Supplements/Wellness),MomentIQ,TikTok Shop growth agency (creator matching / affiliate + live commerce),"Supplements/wellness clients incl. Zen Nutrients, Nature's Sunshine (per site); 200+ brands across beauty/supplements/wellness; $150M+ annual brand revenue","MomentIQ site + case studies cite supplement/wellness clients (zennutrients, naturessunshine) and $150M+ brand revenue; algorithmic creator matching + affiliate program design.","US-based; large (200+ brands, $150M+ revenue, award-winning)",Competitor / channel partner: overlaps with Spira on algorithmic creator matching and affiliate program design - either a competitive benchmark or an integration/white-label AI-content partner.,,LOW,https://bemomentiq.com/ https://bemomentiq.com/our-work https://bemomentiq.com/tsp
Automotive & Motorcycles (Accessories/Aftermarket),DRIVEN360 (Driven Public Relations),Automotive/aftermarket PR + influencer & integrated brand agency,"LINE-X (agency of record 10+ years), Lucas Oil, Fisker; deep SEMA / Formula Drift aftermarket portfolio",Own site + DesignRush/Linqia profiles document AOR relationship with LINE-X (truck bedliner/coatings aftermarket brand) for 10+ years and work with Lucas Oil; specializes in activating enthusiast/car-culture influencers at SEMA. This is the clearest evidence of a firm working the automotive aftermarket category specifically.,"Los Angeles, CA (ties to Detroit & Atlanta); boutique-to-mid agency (headcount not publicly verified)",Channel partner / white-label target — strong aftermarket brand relationships and influencer activation but PR/event-led; Spira could supply AI-scaled TTS creator-commerce content they don't produce at volume.,,LOW,https://www.drivenpublicrelations.com/leveraging-trade-shows-to-elevate-the-line-x-brand/ https://www.drivenpublicrelations.com/about-1 https://www.linkedin.com/company/driven-public-relations https://www.designrush.com/agency/profile/driven360
Automotive & Motorcycles (Accessories/Aftermarket),inBeat,UGC + micro-influencer / creator performance agency,"Nissan (automotive), plus New Balance, Nordstrom, 7-Eleven; runs automotive UGC/influencer programs","inBeat's own site and third-party roundups (Linqia, marketing blogs) cite Nissan automotive campaigns with reported ~75% CPA reduction, and inBeat publishes automotive-agency content; specializes in TikTok short-form UGC at scale.","Montreal, Canada / North America; mid-size creative growth agency",Competitor / channel partner — they sell UGC volume that overlaps Spira's offering; potential partner to feed AI-generated creator content into their automotive client campaigns or white-label Spira for TTS.,,LOW,https://inbeat.agency/ https://inbeat.agency/blog/top-automotive-marketing-agencies https://www.linqia.com/insights/top-10-u-s-automotive-influencer-marketing-agencies/ https://inbeat.agency/case-studies
Automotive & Motorcycles (Accessories/Aftermarket),Silk Commerce,Certified TikTok Shop partner — eCommerce enablement / integration + growth agency,Lists Automotive among industries served; provides TikTok Shop Connector (BigCommerce/Shopify) and TTS Shop management,"Silk Commerce is a certified TikTok Shop integration & agency partner (TTS Shop Connector on BigCommerce marketplace) and publicly lists Automotive as a served vertical. Category evidence is weaker than DRIVEN360 (vertical listed, no named automotive TTS case study found).","US-based eCommerce agency (Irvine, CA area); mid-size","Channel partner — they own TTS tech/ops/catalog integration for sellers; Spira supplies the creator-content layer they don't produce, a clean division of labor for automotive TTS clients.",,LOW,https://www.silkcommerce.com/tiktok-shop/connector/ https://www.silkcommerce.com/tiktokshop/ https://www.bigcommerce.com/apps/tiktok-shop-connector-by-silk-commerce/
Fashion Accessories,Social Tale,TikTok Shop growth / creator-affiliate management agency (Official TikTok Shop Partner),"Fashion & accessories vertical (streetwear, activewear, accessories, dresses) plus DTC brands like Ekster, Divi, PetLab Co., Manta Sleep, Ketone-IQ; $100M+ total GMV across 50+ brands, 1,200+ creators activated","Dedicated fashion TikTok Shop page citing $25M+ fashion GMV incl. accessories and a client activation of 2,000+ affiliates / £390K direct GMV in 4 months; listed as official TikTok Shop Partner.","London, UK (operates US & UK); founder-led boutique agency",Channel partner / white-label target — they run affiliate + creator programs but need scalable AI content production; Spira could power their per-brand UGC/creator-content engine.,"Ashley Wright, Founder & CEO — https://uk.linkedin.com/in/ashleywright1",HIGH,https://socialtale.co/tiktok-shop-agency/fashion https://socialtale.co/ https://uk.linkedin.com/in/ashleywright1
Fashion Accessories,E.T. Advertisers,eCommerce performance / TikTok growth agency,Evry Jewels (fashion jewelry brand) — 2+ years running its TikTok performance strategy,Named in TikTok for Business official case study as the agency partner behind Evry Jewels' TikTok shopping-ads growth strategy.,Boutique performance agency (size undisclosed),Competitor / channel partner — they own paid + shopping-ads execution for a jewelry client; Spira could supply the organic creator-content layer they lack.,,LOW,https://ads.tiktok.com/business/en-US/inspiration/etadvertisers-evryjewels-tiktok-shopping-ads
Fashion Accessories,MediaLabs,Full-service TikTok Shop agency (TSP / CAP / TAP official partner),"Fashion & apparel + accessories brands (LA-focused); $500M+ managed GMV, 600+ pre-vetted fashion creators on managed roster",Dedicated 'TikTok Shop Agency for Fashion & Apparel Brands in Los Angeles' page; claims $500M+ managed GMV with official TikTok Partner status and fashion/accessories creator roster.,"Los Angeles, CA; mid-size specialist agency",White-label / channel partner — large managed-GMV shop that could resell Spira's AI content to its 600-creator fashion roster to boost content velocity per client.,,LOW,https://medialabs-co.com/tiktok-shop-agency-for-fashion-brands-in-los-angeles https://medialabs-co.com/tiktok-shop-agency
