Category,Brand,Tier,TTS Evidence,HQ Location,Company Size,Business Model,Fit Score,Fit Why,KDM Name,KDM Title,KDM LinkedIn,KDM Confidence,Secondary Contact,Marketing Org Notes,Source URLs
Womenswear & Underwear,Pumiey,WINNABLE,@pumiey TikTok (~104K followers); TikTok Shop store live (shop.tiktok.com/us/k/puimey-body-suits); 61K+ units sold on TTS at 4.7 stars; goes viral as a 'SKIMS dupe' bodysuit.,United States (HQ unconfirmed; likely CA),Small/mid privately held (unconfirmed),"DTC (pumiey.net) + marketplace (TikTok Shop, Amazon)",5,"Long-sleeve/v-neck bodysuit basics sell as 'body makeup' dupes — pure try-on/comparison creator content, extremely content-velocity dependent.",,,,LOW,,"Founder/marketing leadership not surfaced in public sources; role exists, individual unconfirmed. Strong organic + affiliate TTS presence but no named agency or KDM verifiable — needs direct outreach/LinkedIn dig on company page.",https://www.tiktok.com/@pumiey?lang=en https://shop.tiktok.com/us/k/puimey-body-suits https://pumiey.net/pages/about-us
Womenswear & Underwear,SooSlick (Soo Slick),WINNABLE,"@sooslick on TikTok; runs a TikTok Shop affiliate program (documented Social Snowball case study — uploaded full catalog to TTS, safelink discount codes, post-purchase affiliate flywheel); TTS product listings live.","Las Vegas, NV",Small mid-market DTC; Black women-owned (employee count unconfirmed),"DTC (sooslickapparel.com) + marketplace (TikTok Shop, Amazon)",5,Affordable shapewear/bodysuits competing on volume; explicitly built a creator-affiliate engine to sell 'without being salesy' — needs steady genuine creator content.,,,,LOW,,"Black women-owned, Las Vegas; founder name not publicly surfaced (role exists, individual unconfirmed). Documented TTS affiliate program via Social Snowball is the clearest hook — approach through affiliate/creator ops.",https://sooslickapparel.com/ https://www.socialsnowball.io/tiktok-shop-affiliate-management https://www.tiktok.com/@sooslick
Womenswear & Underwear,Honeylove,FLAGSHIP,Honeylove Inc TikTok Shop store (shop.tiktok.com/us/k/honeylove-inc); wireless 'CrossOver' bra and sculptwear went viral on TikTok driving reviewer try-on hauls.,"Los Angeles, CA (CEO based San Francisco per some listings)","$13M Series A (2022), est. $100M+ revenue; ~100-250 employees","DTC (own site) + marketplace (TikTok Shop, Amazon)",4,Function-first shapewear needs demo/before-after content to prove fit claims; VC-backed and scaling creator marketing but still founder-led with in-house team.,Betsie (Elizabeth) Larkin,CEO & Founder,https://www.linkedin.com/in/betsielarkin/,HIGH,,"Betsie Larkin (former EDM singer/songwriter) independently verified as CEO/Founder across LinkedIn, The Org, Crunchbase, Wikipedia; founded Honeylove 2016, public launch 2018. LinkedIn URL confirmed (linkedin.com/in/betsielarkin/). In-house performance + creator team; identify a Head of Influencer/Social as the day-to-day budget owner. Y Combinator + Kickstarter origin, $13M Series A.",https://www.linkedin.com/in/betsielarkin/ https://www.forbes.com/sites/cherylrobinson/2022/04/13/how-a-300-thousand-kickstarter-turned-into-a-13-million-series-a-funding-round-for-honeylove/ https://shop.tiktok.com/us/k/honeylove-inc
Womenswear & Underwear,FeelinGirl (FEELINGIRL LLC),FLAGSHIP,FeelinGirl Shapewear TTS store (shop.tiktok.com/us/store/feelingirl-shapewear/7496260382973856130); ranked #1 shapewear brand on TikTok Shop three consecutive years; ~$633K units sold in a single week (FindNiche); ran TTS Super Brand Day NYC (2025).,"Rancho Cucamonga, CA (US HQ)",$200M+ scale; ~$49-56M reported quarterly GMV; large (China-operated ops + US HQ),"DTC + marketplace hybrid (own site, TikTok Shop, Amazon, now Walmart Marketplace)",4,"Enormous SKU catalog (waist trainers, fajas, bodysuits) requiring continuous creator content across styles; already runs a 200K+ creator affiliate network.",,,,LOW,,"Largely China-operated with US HQ in Rancho Cucamonga; runs 200K+ creator affiliate program in-house. No individual US marketing/creator lead verifiable in public sources — role exists, individual unconfirmed. Likely has internal/affiliated content ops rather than an independent agency of record.",https://www.prnewswire.com/news-releases/feelingirl-shines-at-tiktok-shop-super-brand-day-in-nyc-302404313.html https://shop.tiktok.com/us/store/feelingirl-shapewear/7496260382973856130 https://findniche.com/tiktok/top-sellers-womenswear-and-underwear-us
Womenswear & Underwear,Halara,FLAGSHIP,"@halara_official (2M+ followers); starred in TikTok Shop 'Super Brand Day'; risen to top-5 US TikTok shops; wide-leg/work-pants and dresses go viral, 500K+ units sold across site + TTS.","Los Angeles, CA (US ops); China-based parent (HIKE Capital-backed)","Fast-fashion scale, hundreds of employees; top-5 US TTS apparel brand",DTC fast-fashion + marketplace (own site + TikTok Shop),5,"Launch model = thousands of creators per drop (268+ TikTok influencers), constant viral SKU refresh; among the most content-hungry apparel brands on TTS.",Gabby Hirata,Global Brand President (currency doubtful — likely departed),https://www.linkedin.com/in/gabbyhirata/,MED,,"Gabby Hirata (ex-DVF CEO) was named Global Brand President in July 2023 and drove the creator-incentive strategy (Forbes, Modern Retail, Marketing Brew). LinkedIn URL independently verified as real (linkedin.com/in/gabbyhirata/). CAUTION: her current LinkedIn headline reads 'Advisor | Ex-CEO/President | DTC', strongly indicating she has TRANSITIONED OUT of the Halara Brand President role — verify who currently holds it before outreach; do not assume she is the sitting decision-maker. Influencer program run in-house at scale.",https://www.forbes.com/sites/sboyd/2024/02/29/how-activewear-brand-halara-harnessed-the-marketing-power-of-tiktok/ https://www.marketingbrew.com/stories/2024/01/24/how-halara-uses-influencer-incentives-to-go-viral-again-and-again https://www.linkedin.com/in/gabbyhirata/
Womenswear & Underwear,Shapermint,FLAGSHIP,"Brand Director publicly detailed building TikTok Shop and evaluating creators by GMV (MediaPost Brand Insider); part of ~$70M/yr paid media incl. TikTok; ~$300M projected revenue, took ~1/5 of US shapewear market.","US-market-primary; parent Trafilea is remote-first (roots Montevideo, Uruguay)",~$300M projected revenue (2024); parent Trafilea ~500+ staff,"DTC performance-marketing hybrid (own site, marketplaces, TikTok Shop) under Trafilea Group",4,"Data/performance-marketing machine now leaning into creator commerce; hungry for high-volume, testable creator content to feed its AI ad/creator engine.",Massimiliano Tirocchi,Co-Founder & CMO (Trafilea/Shapermint),https://www.linkedin.com/in/massimiliano-tirocchi-84740a60,HIGH,"Gabrielle Richards, Brand Director, Trafilea/Shapermint (owns TikTok Shop creator strategy per MediaPost; LinkedIn URL not verified — treat as unconfirmed individual)","Tirocchi independently verified as Co-Founder & CMO of Trafilea/Shapermint (Campaign CMO 50, The Org, Crunchbase, Modern Retail); LinkedIn URL now verified via search (linkedin.com/in/massimiliano-tirocchi-84740a60). Gabrielle Richards named as the TikTok Shop day-to-day owner (MediaPost) but her LinkedIn is not independently verified. Heavy in-house performance team + proprietary AI ad tooling; sophisticated buyer.",https://www.mediapost.com/publications/article/415983/trafilea-group-shapermints-brand-director-on-ti.html https://www.campaignlive.com/article/cmo-50-massimiliano-tirocchi/1717801 https://www.linkedin.com/in/massimiliano-tirocchi-84740a60 https://www.glossy.co/fashion/how-shapermint-quietly-took-a-fifth-of-the-us-shapewear-market/
Phones & Electronics,Wyze,FLAGSHIP,"Ranked #1 in TikTok Shop 'Phones and Electronics' category (IPVM report); $40M+ total TTS GMV, hit $3.3M GMV / 550K units in a single month; one of first smart-home brands as a Featured Brand on the TTS homepage. Official store: tiktok.com/shop/k/wyze; Wyze support page dedicated to 'Wyze TikTok Shop'.","Kirkland/Seattle, WA",~500-700 employees; est. $250M-$400M revenue,DTC / hybrid (affordable smart-home electronics; Amazon + own site + TTS),4,"Growth engine is explicitly creator-powered (KOL+KOC dual-track, Open Plan sampling, Promote/Spark Ads flywheel) requiring constant fresh UGC across a wide SKU line.",Dave Crosby,Co-founder & Chief Marketing Officer,https://www.linkedin.com/in/crosbydave,HIGH,"Logan Dunn, Head of E-commerce (D2C) @ Wyze Labs, https://www.linkedin.com/in/logandunn/","Founder-led marketing (4 ex-Amazon founders). CMO Crosby owns brand/creator narrative; Logan Dunn owns D2C/TTS commerce. Both verified: Crosby (Co-founder & CMO) and Dunn (Head of E-commerce D2C) confirmed at Wyze with matching LinkedIn URLs. Worked with InsMark (MCN) and TikTok's own Shop Ads team on affiliate/Promote scaling — agency-of-record not exclusively locked, uses multiple creator partners.",https://ipvm.com/reports/wyze-tiktok https://ads.tiktok.com/business/en-US/inspiration/wyze-tiktok-promote https://www.linkedin.com/in/crosbydave https://www.linkedin.com/in/logandunn/ https://support.wyze.com/hc/en-us/articles/20825538047131-About-Wyze-TikTok-Shop
Phones & Electronics,Anker / Soundcore,FLAGSHIP,"Repeatedly cited as a top TikTok Shop electronics brand (Anker 622 MagSafe battery, Soundcore audio). Official Soundcore TTS storefront (tiktok.com/shop/k/anker-soundcore) and brand account @soundcoreaudio; active affiliate program (3-8% electronics commission).","Bellevue, WA (US HQ); parent Anker Innovations, Shenzhen","Large; Anker Innovations ~$2B+ global revenue, thousands of employees","Marketplace / hybrid (Amazon-first, expanding DTC + TTS)",4,"High SKU velocity across charging/audio; runs a formal creator program (Anker SuperChargers) and needs demo-heavy short-form content per launch, but large in-house org.",,Social Media / Influencer Marketing lead (US),,LOW,"Rachel Binkerd, Social Media Specialist, Anker Innovations LTD, https://www.linkedin.com/in/rachel-binkerd/","Sizable US marketing org in Bellevue (actively hiring Social Media Manager roles). Head-of-social not identified — role exists, individual unconfirmed. Secondary contact Rachel Binkerd (Social Media Specialist, Anker Innovations) verified with matching LinkedIn URL. Runs Anker SuperChargers creator program in-house.",https://shop.tiktok.com/us/k/anker-soundcore https://www.anker.com/content-creator https://www.linkedin.com/in/rachel-binkerd/ https://www.linkedin.com/jobs/view/social-media-manager-at-anker-innovations-ltd-3624937729
Phones & Electronics,TORRAS,WINNABLE,"Deep TTS catalog (Ostand mag cases, Guardian magnetic shockproof cases for iPhone 17, Dual-Ring grips, Coolify neck fans). Dedicated TTS storefront pages (shop.tiktok.com/us/k/torras-magnetic-shockproof-case, /torras-ostand-mag-case) plus heavy creator discovery content.","Shenzhen, China (US-market-primary; sells via TTS US, torraslife.com)",Private mid-market; size undisclosed,DTC / marketplace (phone accessories + gadgets),5,Phone-case/accessory maker with a new hero SKU every iPhone/Samsung cycle — burns through demo content weekly and lives on creator affiliate velocity.,,US Marketing / Brand lead,,LOW,,"Lean US-facing brand team; 'Ashley Hu' surfaced in a TORRAS-branded LinkedIn post but role/currency not confirmed — role inferred, individual unconfirmed. No holding-co agency-of-record found; relies on affiliate creators — classic winnable target.",https://shop.tiktok.com/us/pdp/torras-iphone-17-pro-case-magnetic-shockproof-magsafe/1732381011090182342 https://shop.tiktok.com/us/k/torras-ostand-mag-case https://torraslife.com/ https://www.linkedin.com/company/torraslife
Phones & Electronics,Casely,WINNABLE,Active TTS presence (shop.tiktok.com/us/k/casely-magsafe) and viral 'Power Pod' / 'Power Pod Max' MagSafe chargers driven off @get.casely (creator-style videos with hundreds of K-M views); frequently compared head-to-head with Velvet Caviar on TTS.,"Brooklyn, NY",~50-150 employees; Inc. 5000 DTC brand,DTC (subscription/drop model for cases + accessories),5,Design-drop business model ships new case designs constantly and the Power Pod is a repeat-purchase viral SKU — content demand is weekly and creator-commerce dependent.,Christy Gurganus,Head of Social Media & Partnerships,https://www.linkedin.com/in/christy-gurganus-71a72a117/,HIGH,"Mark Stallings, Co-founder & CEO, https://www.linkedin.com/in/mark-stallings-675894160/","Founder-led (Mark & Emily Stallings). Christy Gurganus verified as current Head of Social Media & Partnerships at Casely with matching LinkedIn URL (confirmed via LinkedIn, TheOrg, and ZoomInfo). Mark Stallings (Co-founder) also verified with matching URL. Brand hires 'Influencer Marketing Specialist' roles in-house. No locked-in holding-co agency found.",https://www.tiktok.com/@get.casely/video/7460558196214631726 https://shop.tiktok.com/us/k/casely-magsafe https://www.linkedin.com/in/christy-gurganus-71a72a117/ https://www.linkedin.com/in/mark-stallings-675894160/ https://www.getcasely.com/collections/power-pods
Phones & Electronics,Velvet Caviar,WINNABLE,"TTS storefront (shop.tiktok.com/us/k/velvet-caviar-phone-cases; tiktok.com/product/velvet-caviar-phone-case) plus documented influencer-gifting play (gifted iPhone 17 Pro Max + cases to creators, covered in viral TTS commentary) and PowerPod line competing directly with Casely on TTS.","Brooklyn, NY","Small (creative team, Brooklyn); privately held",DTC (fashion-forward phone cases + accessories),5,Fashion-case brand with 100+ designs and aggressive creator-gifting; entire model is influencer/creator-content driven with constant new-design content needs.,Michelle Aran,Founder & CEO,,MED,,"Founder & CEO Michelle Aran verified across Crunchbase, ZoomInfo, and brand 'Our Story' pages (name and role confirmed). Personal LinkedIn URL was not included in the research and is left blank (not guessed). Marketing run in-house from Brooklyn with heavy influencer-gifting motion; strong candidate for a creator-content/affiliate platform.",https://velvetcaviar.com/pages/about-us https://shop.tiktok.com/us/k/velvet-caviar-phone-cases https://www.tiktok.com/@maxwellnimmo/video/7554848528372141334 https://www.linkedin.com/company/velvet-caviar
Phones & Electronics,Audien Hearing,WINNABLE,MediaLabs-run TikTok Shop managed campaign (Q1 2026 case study) for OTC hearing aids; niche 50+/caregiver creator program delivering 'category-leading ROAS.' Fits the Phones & Electronics / personal-electronics band as a $99-100 consumer electronics device sold via creator commerce.,United States (US-based DTC; HQ city not verified — do not guess),Mid-market DTC; scaled fast ($99 OTC hearing-aid disruptor),DTC (direct-to-consumer OTC hearing aids),4,"Depends on niche-fit creator content (50+/caregiver scenarios) to convert a considered electronics purchase — high need for volume of targeted, testimonial-style UGC.",Ishan Patel,Co-founder & CEO,https://www.linkedin.com/in/ivpatel/,HIGH,"Zack Hubbard, Co-founder (marketing/CMO, 'tens of millions in ad spend'), https://www.linkedin.com/in/zackhubbard6/","Three co-founders: Ishan Patel (CEO), Dylan Garber (product/DTC), Zack Hubbard (marketing/CMO). All verified with matching LinkedIn URLs: Patel (ivpatel), Hubbard (zackhubbard6). Creative Director Alex Garcia also verified at Audien Hearing (https://www.linkedin.com/in/alex-c-garcia/). Current TTS agency-of-record = MediaLabs (Q1 2026) — so an incumbent exists; approach as competitive displacement or content-supply partner.",https://medialabs-co.com/case-studies/audien-hearing https://www.linkedin.com/in/ivpatel/ https://www.linkedin.com/in/zackhubbard6/ https://www.linkedin.com/in/alex-c-garcia/
Phones & Electronics,UGREEN,FLAGSHIP,"Active US TTS storefront (tiktok.com/shop/k/ugreen) for Nexode GaN chargers, MagSafe/Qi2 power banks, cables; strong affiliate creator content (#ugreen #wallcharger #tiktokshopcreatorpicks) and MagSafe power-bank review virality.","Shenzhen, China (US-market via us.ugreen.com + TTS US)","Large; publicly listed (UGREEN Group), thousands of employees",Marketplace / hybrid (Amazon + DTC + TTS),4,"Broad charging-accessory line with frequent launches and price-driven affiliate promos; demo-friendly SKUs need steady creator content, though org is large.",,US Marketing / Influencer lead,,LOW,,"Large China-HQ org with a growing US team; specific US head-of-social/creator not verified in public search — role exists, individual unconfirmed. Runs affiliate/creator picks in-house plus co-brand plays (e.g., Genshin Impact collab).",https://www.tiktok.com/shop/k/ugreen https://us.ugreen.com/collections/power-bank https://www.tiktok.com/discover/ugreen-powerbank-magsafe-review
